"","songid","song","launchdate","chosen","available_rl","intensity"
"35",31,"five corporations",1996-08-15,113,244,0.463114754098361
"36",26,"ex-spectator",1999-08-26,52,113,0.460176991150442
"37",39,"great cop",1991-12-08,277,608,0.455592105263158
"38",32,"floating boy",1996-10-16,107,242,0.442148760330579
"39",94,"two beats off",1989-05-03,392,887,0.441939120631342
"40",88,"sweet and low",1992-05-15,254,585,0.434188034188034
"41",37,"give me the cure",1988-03-30,401,939,0.427050053248136
"42",67,"promises",1988-10-15,390,916,0.425764192139738
"43",2,"and the same",1987-09-26,397,951,0.41745531019979
"44",59,"nightshop",1999-08-26,46,113,0.407079646017699
"45",60,"no surprise",1996-09-29,97,243,0.39917695473251
"46",87,"suggestion",1987-12-03,373,947,0.393875395987328
"47",78,"shut the door",1989-03-24,342,894,0.38255033557047
"48",81,"song #1",1987-09-03,353,952,0.370798319327731
"49",27,"exit only",1990-07-06,282,780,0.361538461538462
"50",5,"back to base",1994-11-20,142,393,0.361323155216285
"51",86,"styrofoam",1989-07-19,294,876,0.335616438356164
"52",6,"bad mouth",1987-10-16,312,949,0.328767123287671
"53",77,"runaway return",1990-02-11,273,845,0.323076923076923
"54",75,"reprovisional",1988-12-29,284,896,0.316964285714286
"55",85,"strangelight",2001-04-06,19,61,0.311475409836066
"56",24,"downed city",1994-11-20,116,393,0.295165394402036
"57",54,"long distance runner",1994-11-27,114,392,0.290816326530612
"58",30,"fell, destroyed",1993-08-16,135,467,0.289079229122056
"59",18,"cassavetes",1991-07-28,180,656,0.274390243902439
"60",97,"walken's syndrome",1992-10-23,147,537,0.273743016759777
"61",13,"bulldog front",1988-06-15,249,925,0.269189189189189
"62",63,"pink frosty",1996-03-20,69,266,0.259398496240602
"63",15,"burning too",1988-07-28,238,921,0.258414766558089
"64",14,"burning",1988-02-06,243,942,0.25796178343949
"65",76,"returning the screw",1992-10-23,138,537,0.256983240223464
"66",51,"latin roots",1990-10-01,187,753,0.248339973439575
"67",40,"greed",1989-03-24,199,894,0.222595078299776
"68",82,"stacks",1991-02-15,156,715,0.218181818181818
"69",22,"dear justice letter",1991-01-02,152,718,0.211699164345404
"70",49,"last chance for a slow dance",1991-07-28,138,656,0.210365853658537
"71",19,"caustic acrostic",1996-01-30,53,269,0.197026022304833
"72",53,"lockdown",1987-12-03,184,947,0.194297782470961
"73",48,"kyeo",1987-10-07,183,950,0.192631578947368
"74",12,"brendan #1",1989-03-24,170,894,0.190156599552573
"75",33,"foreman's dog",1998-05-01,34,188,0.180851063829787
"76",58,"nice new outfit",1991-02-20,119,714,0.166666666666667
"77",38,"glueman",1988-05-07,148,935,0.158288770053476
"78",11,"break-in",1987-10-16,146,949,0.153846153846154
"79",47,"joe #1",1987-09-03,136,952,0.142857142857143
"80",41,"guilford fall",1996-08-15,32,244,0.131147540983607
"81",36,"furniture",1987-09-03,108,952,0.113445378151261
"82",50,"latest disgrace",1994-11-20,39,393,0.099236641221374
"83",95,"version",1994-08-27,36,394,0.0913705583756345
"84",83,"steady diet",1991-04-12,46,697,0.0659971305595409
"85",21,"combination lock",1994-11-27,21,392,0.0535714285714286
"86",1,"23 beats off",1992-10-23,27,537,0.0502793296089385
"87",42,"hello morning",2001-04-27,2,48,0.0416666666666667
"88",91,"the word",1987-09-03,37,952,0.0388655462184874
"89",45,"in defense of humans",1987-09-03,31,952,0.032563025210084
"90",92,"turn off your guns",1987-09-03,17,952,0.0178571428571429
"91",69,"provisional",1988-11-14,13,907,0.0143329658213892
"92",84,"strange disclosure",2000-08-07,1,72,0.0138888888888889
"93",65,"polish",1991-03-06,6,709,0.00846262341325811
"94",98,"world beat",1996-01-30,2,269,0.00743494423791822
"95",66,"preprovisional",1988-10-31,6,911,0.00658616904500549
"96",68,"promises bit",1988-10-21,2,913,0.00219058050383352
"97",43,"hello morning seed",1988-10-21,1,913,0.00109529025191676
"98",44,"i spent it all",1988-04-09,1,938,0.00106609808102345
