"","rank","songid","track_number","song","launchdate","duration","chosen","available_rl","intensity","rating","releaseid","release","releasedate","lead","launchyear","releaseyear"
"32",66,49,5,"latin roots",1990-10-01,193,182,729,0.249657064471879,0.673442619677745,5,"steady diet of nothing",1991-08-01,304,1990,1991
"33",85,80,6,"steady diet",1991-04-12,222,46,673,0.0683506686478455,0.424241953266014,5,"steady diet of nothing",1991-08-01,111,1991,1991
"34",21,53,7,"long division",1989-04-09,132,498,847,0.587957497048406,0.840149624921676,5,"steady diet of nothing",1991-08-01,844,1989,1991
"35",53,74,8,"runaway return",1990-02-11,238,265,817,0.324357405140759,0.717914186899978,5,"steady diet of nothing",1991-08-01,536,1990,1991
"36",93,63,9,"polish",1991-03-06,218,6,685,0.00875912408759124,0.0457175729225746,5,"steady diet of nothing",1991-08-01,148,1991,1991
"37",68,22,10,"dear justice letter",1991-01-02,207,148,694,0.213256484149856,0.646610967989616,5,"steady diet of nothing",1991-08-01,211,1991,1991
"38",74,46,11,"kyeo",1987-10-07,178,173,897,0.192865105908584,0.611018914197166,5,"steady diet of nothing",1991-08-01,1394,1987,1991
"39",19,28,1,"facet squared",1991-08-12,162,299,621,0.481481481481481,0.853247387356232,6,"in on the killtaker",1993-06-18,676,1991,1993
"40",22,67,2,"public witness program",1993-02-05,124,264,513,0.514619883040936,0.838883697543069,6,"in on the killtaker",1993-06-18,133,1993,1993
"41",65,73,3,"returning the screw",1992-10-23,193,134,516,0.25968992248062,0.676932884076466,6,"in on the killtaker",1993-06-18,238,1992,1993
"42",29,77,4,"smallpox champion",1992-10-23,241,252,516,0.488372093023256,0.815506694083592,6,"in on the killtaker",1993-06-18,238,1992,1993
"43",15,70,5,"rend it",1991-12-08,228,346,585,0.591452991452991,0.879562985991627,6,"in on the killtaker",1993-06-18,558,1991,1993
"44",87,1,6,"23 beats off",1992-10-23,401,26,516,0.0503875968992248,0.363032102863194,6,"in on the killtaker",1993-06-18,238,1992,1993
"45",52,84,7,"sweet and low",1992-05-15,216,249,563,0.442273534635879,0.740571559557468,6,"in on the killtaker",1993-06-18,399,1992,1993
"46",62,18,8,"cassavetes",1991-07-28,150,171,632,0.270569620253165,0.683867194359939,6,"in on the killtaker",1993-06-18,691,1991,1993
"47",34,39,9,"great cop",1991-12-08,112,268,585,0.458119658119658,0.787903323207869,6,"in on the killtaker",1993-06-18,558,1991,1993
"48",57,93,10,"walken's syndrome",1992-10-23,198,141,516,0.273255813953488,0.69544492866141,6,"in on the killtaker",1993-06-18,238,1992,1993
"49",33,44,11,"instrument",1992-01-25,223,272,583,0.466552315608919,0.803876780303843,6,"in on the killtaker",1993-06-18,510,1992,1993
"50",71,47,12,"last chance for a slow dance",1991-07-28,278,136,632,0.215189873417722,0.627349191714391,6,"in on the killtaker",1993-06-18,691,1991,1993
"51",4,23,1,"do you like me",1994-11-20,196,272,377,0.721485411140584,0.968914205268059,7,"red medicine",1995-05-12,173,1994,1995
"52",2,7,2,"bed for the scraping",1994-11-20,170,299,377,0.793103448275862,0.999737918272425,7,"red medicine",1995-05-12,173,1994,1995
"53",82,48,3,"latest disgrace",1994-11-20,214,39,377,0.103448275862069,0.500242594485297,7,"red medicine",1995-05-12,173,1994,1995
"54",17,8,4,"birthday pony",1994-08-15,188,199,385,0.516883116883117,0.853652821701384,7,"red medicine",1995-05-12,270,1994,1995
"55",27,34,5,"forensic scene",1994-08-19,185,201,383,0.524804177545692,0.822594310153379,7,"red medicine",1995-05-12,266,1994,1995
"56",86,21,6,"combination lock",1994-11-27,186,21,376,0.0558510638297872,0.383039320470893,7,"red medicine",1995-05-12,166,1994,1995
"57",56,30,7,"fell, destroyed",1993-08-16,226,137,449,0.305122494432071,0.696161619917121,7,"red medicine",1995-05-12,634,1993,1995
"58",28,16,8,"by you",1993-04-24,311,233,477,0.488469601677149,0.817590805085103,7,"red medicine",1995-05-12,748,1993,1995
"59",84,91,9,"version",1994-08-27,200,34,378,0.0899470899470899,0.459036744496067,7,"red medicine",1995-05-12,258,1994,1995
"60",9,85,10,"target",1994-08-15,212,260,385,0.675324675324675,0.918501704509127,7,"red medicine",1995-05-12,270,1994,1995
"61",47,5,11,"back to base",1994-11-20,105,136,377,0.360742705570292,0.750860506271945,7,"red medicine",1995-05-12,173,1994,1995
"62",54,24,12,"downed city",1994-11-20,173,111,377,0.294429708222812,0.698722440509898,7,"red medicine",1995-05-12,173,1994,1995
"63",59,52,13,"long distance runner",1994-11-27,257,113,376,0.300531914893617,0.68873473472016,7,"red medicine",1995-05-12,166,1994,1995
"64",1,10,1,"break",1996-08-15,132,171,229,0.746724890829694,1,8,"end hits",1998-04-24,617,1996,1998
"65",7,62,2,"place position",1996-08-15,165,133,229,0.580786026200873,0.931840828227849,8,"end hits",1998-04-24,617,1996,1998
"66",10,68,3,"recap modotti",1997-05-03,230,141,207,0.681159420289855,0.914877023833895,8,"end hits",1998-04-24,356,1997,1998
"67",45,58,4,"no surprise",1996-09-29,252,89,228,0.390350877192982,0.762345227935368,8,"end hits",1998-04-24,572,1996,1998
"68",30,31,5,"five corporations",1996-08-15,149,109,229,0.475982532751092,0.814032655128123,8,"end hits",1998-04-24,617,1996,1998
"69",69,19,6,"caustic acrostic",1996-01-30,121,51,254,0.200787401574803,0.640462343951287,8,"end hits",1998-04-24,815,1996,1998
"70",5,20,7,"closed captioned",1997-06-18,292,159,199,0.798994974874372,0.950285962497037,8,"end hits",1998-04-24,310,1997,1998
"71",32,32,8,"floating boy",1996-10-16,345,106,227,0.466960352422908,0.809632503323986,8,"end hits",1998-04-24,555,1996,1998
"72",76,33,9,"foreman's dog",1998-05-01,261,33,176,0.1875,0.585423351452831,8,"end hits",1998-04-24,-7,1998,1998
"73",16,4,10,"arpeggiator",1997-05-02,268,154,208,0.740384615384615,0.869892590632635,8,"end hits",1998-04-24,357,1997,1998
"74",79,41,11,"guilford fall",1996-08-15,177,32,229,0.139737991266376,0.565530279273861,8,"end hits",1998-04-24,617,1996,1998
"75",63,61,12,"pink frosty",1996-03-20,249,67,251,0.266932270916335,0.681302661464577,8,"end hits",1998-04-24,765,1996,1998
"76",26,29,13,"fd",1997-05-02,222,115,208,0.552884615384615,0.823942037431325,8,"end hits",1998-04-24,357,1997,1998
"77",6,17,2,"cashout",2000-09-30,264,61,66,0.924242424242424,0.94817328301204,9,"the argument",2001-10-16,381,2000,2001
"78",40,35,3,"full disclosure",2001-04-05,233,25,58,0.431034482758621,0.778828520737763,9,"the argument",2001-10-16,194,2001,2001
"79",42,25,4,"epic problem",2000-10-01,239,32,65,0.492307692307692,0.771508441731946,9,"the argument",2001-10-16,380,2000,2001
"80",35,50,5,"life and limb",2001-06-21,189,21,44,0.477272727272727,0.78764735070763,9,"the argument",2001-10-16,117,2001,2001
"81",25,86,6,"the kill",2001-04-05,327,35,58,0.603448275862069,0.832348225905611,9,"the argument",2001-10-16,194,2001,2001
"82",61,81,7,"strangelight",2001-04-06,353,19,57,0.333333333333333,0.684201381151811,9,"the argument",2001-10-16,193,2001,2001
"83",24,60,8,"oh",1998-11-29,269,80,137,0.583941605839416,0.835278506089321,9,"the argument",2001-10-16,1052,1998,2001
"84",39,26,9,"ex-spectator",1999-08-26,258,45,101,0.445544554455446,0.780169078405023,9,"the argument",2001-10-16,782,1999,2001
"85",51,57,10,"nightshop",1999-08-26,242,44,101,0.435643564356436,0.743766110778144,9,"the argument",2001-10-16,782,1999,2001
"86",23,3,11,"argument",1999-08-26,267,66,101,0.653465346534653,0.838207239009926,9,"the argument",2001-10-16,782,1999,2001
"87",81,36,1,"furniture",1987-09-03,215,95,899,0.10567296996663,0.518276089822972,10,"furniture",2001-10-16,5157,1987,2001
"88",11,59,2,"number 5",1998-11-21,189,110,145,0.758620689655172,0.89550377805427,10,"furniture",2001-10-16,1060,1998,2001
"89",88,42,3,"hello morning",2001-04-27,126,2,45,0.0444444444444444,0.312235786837666,10,"furniture",2001-10-16,172,2001,2001
"90",89,87,5,"the word",1987-09-03,278,31,899,0.0344827586206897,0.286960354069684,11,"first demo",2014-11-18,9938,1987,2014
"91",91,88,8,"turn off your guns",1987-09-03,223,15,899,0.0166852057842047,0.172720473040596,11,"first demo",2014-11-18,9938,1987,2014
"92",90,43,10,"in defense of humans",1987-09-03,167,25,899,0.0278086763070078,0.26452140972224,11,"first demo",2014-11-18,9938,1987,2014
"93",94,64,1,"preprovisional",1988-10-31,130,6,865,0.0069364161849711,0,13,"unreleased",NA,NA,1988,NA
"94",92,94,2,"world beat",1996-01-30,226,2,254,0.0078740157480315,0.0457366770313395,13,"unreleased",NA,NA,1996,NA
