"","rank","songid","song","launchdate","duration","chosen","available_rl","intensity","rating","releaseid","releasedate","lead","launchyear","releaseyear"
"19",43,15,"burning too",1988-08-01,170,212,868,0.244239631336406,0.752426038328125,2,1989-06-15,318,1988,1989
"20",57,54,"margin walker",1988-08-01,150,426,868,0.490783410138249,0.6773280425775,2,1989-06-15,318,1988,1989
"21",31,65,"promises",1988-10-15,242,376,864,0.435185185185185,0.802489934107228,2,1989-06-15,243,1988,1989
"22",80,66,"provisional",1988-11-14,137,8,859,0.00931315483119907,0.491817778598969,2,1989-06-15,213,1988,1989
"23",69,72,"reprovisional",1988-12-29,138,275,850,0.323529411764706,0.621963727759973,4,1990-03-01,427,1988,1990
"24",37,12,"brendan #1",1989-04-05,152,156,849,0.183745583038869,0.771899522684542,4,1990-03-01,330,1989,1990
"25",50,75,"shut the door",1989-04-05,289,321,849,0.378091872791519,0.728295502427343,4,1990-03-01,330,1989,1990
"26",73,40,"greed",1989-04-05,107,187,849,0.220259128386337,0.593400259179717,4,1990-03-01,330,1989,1990
"27",81,76,"sieve-fisted find",1989-04-05,204,417,849,0.491166077738516,0.475951011261324,4,1990-03-01,330,1989,1990
"28",76,53,"long division",1989-04-09,132,497,845,0.588165680473373,0.558024160480149,5,1991-08-01,844,1989,1991
"29",90,89,"turnover",1989-04-09,256,392,845,0.463905325443787,0.134517047707721,4,1990-03-01,326,1989,1990
"30",82,90,"two beats off",1989-05-03,208,369,843,0.437722419928826,0.441688386345384,4,1990-03-01,302,1989,1990
"31",6,71,"repeater",1989-07-20,181,408,835,0.488622754491018,0.937821063208722,4,1990-03-01,224,1989,1990
"32",19,9,"blueprint",1989-11-25,232,585,823,0.710814094775213,0.839292374792886,4,1990-03-01,96,1989,1990
"33",84,74,"runaway return",1990-02-11,238,264,815,0.323926380368098,0.396931104832079,5,1991-08-01,536,1990,1991
"34",62,69,"reclamation",1990-05-05,201,594,793,0.749054224464061,0.664779692433618,5,1991-08-01,453,1990,1991
"35",42,82,"styrofoam",1990-05-17,154,288,786,0.366412213740458,0.752874271261459,4,1990-03-01,-77,1990,1990
"36",52,27,"exit only",1990-07-06,191,275,753,0.365205843293493,0.70362971395738,5,1991-08-01,391,1990,1991
"37",10,49,"latin roots",1990-10-01,193,181,727,0.248968363136176,0.911287369807508,5,1991-08-01,304,1990,1991
"38",48,22,"dear justice letter",1991-01-02,207,148,692,0.213872832369942,0.734413893146833,5,1991-08-01,211,1991,1991
"39",75,79,"stacks",1991-02-15,188,153,689,0.222060957910015,0.566289733755155,5,1991-08-01,167,1991,1991
"40",7,56,"nice new outfit",1991-02-20,206,114,688,0.165697674418605,0.926801557726013,5,1991-08-01,162,1991,1991
"41",28,63,"polish",1991-03-06,218,6,683,0.00878477306002928,0.806876010405099,5,1991-08-01,148,1991,1991
"42",78,80,"steady diet",1991-04-12,222,46,671,0.0685543964232489,0.543333368992745,5,1991-08-01,111,1991,1991
"43",1,18,"cassavetes",1991-07-28,150,171,630,0.271428571428571,1,6,1993-06-18,691,1991,1993
"44",68,47,"last chance for a slow dance",1991-07-28,278,137,630,0.217460317460317,0.623232241106935,6,1993-06-18,691,1991,1993
"45",23,28,"facet squared",1991-08-12,162,298,619,0.481421647819063,0.829718134989383,6,1993-06-18,676,1991,1993
"46",20,70,"rend it",1991-12-08,228,347,583,0.595197255574614,0.833219497222289,6,1993-06-18,558,1991,1993
"47",65,39,"great cop",1991-12-08,112,268,583,0.459691252144082,0.657217556840571,6,1993-06-18,558,1991,1993
"48",5,44,"instrument",1992-01-25,223,271,581,0.466437177280551,0.946506546506949,6,1993-06-18,510,1992,1993
"49",89,84,"sweet and low",1992-05-15,216,247,562,0.439501779359431,0.230435081947734,6,1993-06-18,399,1992,1993
"50",9,1,"23 beats off",1992-10-23,401,26,515,0.0504854368932039,0.913413067263977,6,1993-06-18,238,1992,1993
"51",22,77,"smallpox champion",1992-10-23,241,251,515,0.487378640776699,0.831156151615937,6,1993-06-18,238,1992,1993
"52",34,73,"returning the screw",1992-10-23,193,134,515,0.260194174757282,0.776607967732342,6,1993-06-18,238,1992,1993
"53",92,93,"walken's syndrome",1992-10-23,198,141,515,0.27378640776699,NA,6,1993-06-18,238,1992,1993
"54",44,67,"public witness program",1993-02-05,124,262,512,0.51171875,0.749734892843824,6,1993-06-18,133,1993,1993
"55",49,16,"by you",1993-04-24,311,232,476,0.487394957983193,0.731772736750574,7,1995-05-12,748,1993,1995
"56",29,30,"fell, destroyed",1993-08-16,226,134,448,0.299107142857143,0.806082800824151,7,1995-05-12,634,1993,1995
"57",39,85,"target",1994-08-15,212,261,384,0.6796875,0.762910546275052,7,1995-05-12,270,1994,1995
"58",40,8,"birthday pony",1994-08-15,188,200,384,0.520833333333333,0.762536316443869,7,1995-05-12,270,1994,1995
"59",63,34,"forensic scene",1994-08-19,185,201,382,0.526178010471204,0.663853041997598,7,1995-05-12,266,1994,1995
"60",91,91,"version",1994-08-27,200,34,377,0.0901856763925729,0,7,1995-05-12,258,1994,1995
"61",4,24,"downed city",1994-11-20,173,111,376,0.295212765957447,0.967562277101066,7,1995-05-12,173,1994,1995
"62",12,7,"bed for the scraping",1994-11-20,170,299,376,0.795212765957447,0.880197384197069,7,1995-05-12,173,1994,1995
"63",13,5,"back to base",1994-11-20,105,135,376,0.359042553191489,0.877940195461105,7,1995-05-12,173,1994,1995
"64",56,23,"do you like me",1994-11-20,196,272,376,0.723404255319149,0.679903957060723,7,1995-05-12,173,1994,1995
"65",67,48,"latest disgrace",1994-11-20,214,39,376,0.103723404255319,0.629965931225748,7,1995-05-12,173,1994,1995
"66",46,52,"long distance runner",1994-11-27,257,112,375,0.298666666666667,0.737180466621572,7,1995-05-12,166,1994,1995
"67",47,21,"combination lock",1994-11-27,186,21,375,0.056,0.734448648946767,7,1995-05-12,166,1994,1995
"68",17,19,"caustic acrostic",1996-01-30,121,51,253,0.201581027667984,0.845633871997043,8,1998-04-24,815,1996,1998
"69",59,61,"pink frosty",1996-03-20,249,67,250,0.268,0.671782406037437,8,1998-04-24,765,1996,1998
"70",45,10,"break",1996-08-15,132,170,228,0.745614035087719,0.748784964939192,8,1998-04-24,617,1996,1998
"71",51,31,"five corporations",1996-08-15,149,110,228,0.482456140350877,0.72690708843116,8,1998-04-24,617,1996,1998
"72",53,62,"place position",1996-08-15,165,133,228,0.583333333333333,0.68511314051075,8,1998-04-24,617,1996,1998
"73",60,41,"guilford fall",1996-08-15,177,32,228,0.140350877192982,0.669232569175191,8,1998-04-24,617,1996,1998
"74",77,58,"no surprise",1996-09-29,252,89,227,0.392070484581498,0.549823373727657,8,1998-04-24,572,1996,1998
"75",27,32,"floating boy",1996-10-16,345,107,226,0.473451327433628,0.808011671070817,8,1998-04-24,555,1996,1998
"76",8,29,"fd",1997-05-02,222,115,207,0.555555555555556,0.916038204380982,8,1998-04-24,357,1997,1998
"77",21,4,"arpeggiator",1997-05-02,268,154,207,0.743961352657005,0.831786496578653,8,1998-04-24,357,1997,1998
"78",24,68,"recap modotti",1997-05-03,230,141,206,0.684466019417476,0.824151869016122,8,1998-04-24,356,1997,1998
"79",41,20,"closed captioned",1997-06-18,292,158,198,0.797979797979798,0.753962398818103,8,1998-04-24,310,1997,1998
"80",54,33,"foreman's dog",1998-05-01,261,33,175,0.188571428571429,0.681442232367577,8,1998-04-24,-7,1998,1998
"81",25,59,"number 5",1998-11-21,189,109,144,0.756944444444444,0.815948814327946,10,2001-10-16,1060,1998,2001
"82",74,60,"oh",1998-11-29,269,78,136,0.573529411764706,0.57278294617328,9,2001-10-16,1052,1998,2001
"83",11,3,"argument",1999-08-26,267,66,100,0.66,0.889982776463165,9,2001-10-16,782,1999,2001
"84",33,26,"ex-spectator",1999-08-26,258,46,100,0.46,0.778293579070618,9,2001-10-16,782,1999,2001
"85",79,57,"nightshop",1999-08-26,242,43,100,0.43,0.534547603500944,9,2001-10-16,782,1999,2001
"86",35,17,"cashout",2000-09-30,264,59,65,0.907692307692308,0.773081846291389,9,2001-10-16,381,2000,2001
"87",32,25,"epic problem",2000-10-01,239,30,64,0.46875,0.794319001657445,9,2001-10-16,380,2000,2001
"88",61,35,"full disclosure",2001-04-05,233,24,57,0.421052631578947,0.667084496910592,9,2001-10-16,194,2001,2001
"89",85,86,"the kill",2001-04-05,327,35,57,0.614035087719298,0.353299650558908,9,2001-10-16,194,2001,2001
"90",88,81,"strangelight",2001-04-06,353,19,56,0.339285714285714,0.260219855813388,9,2001-10-16,193,2001,2001
"91",3,42,"hello morning",2001-04-27,126,2,44,0.0454545454545455,0.996053345580439,10,2001-10-16,172,2001,2001
"92",55,50,"life and limb",2001-06-21,189,20,43,0.465116279069767,0.681239259216116,9,2001-10-16,117,2001,2001
